filename,gt_bbox
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000020.png,"[{""class"": ""Car"", ""bbox"": [907, 488, 1180, 838], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000022.png,"[{""class"": ""Car"", ""bbox"": [902, 478, 1184, 857], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000041.png,"[{""class"": ""Car"", ""bbox"": [924, 504, 1182, 839], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000049.png,"[{""class"": ""Car"", ""bbox"": [916, 490, 1185, 854], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000050.png,"[{""class"": ""Car"", ""bbox"": [918, 487, 1198, 823], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000055.png,"[{""class"": ""Car"", ""bbox"": [912, 479, 1171, 829], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000057.png,"[{""class"": ""Car"", ""bbox"": [932, 499, 1178, 837], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000063.png,"[{""class"": ""Car"", ""bbox"": [927, 506, 1178, 826], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000074.png,"[{""class"": ""Car"", ""bbox"": [930, 516, 1173, 823], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000076.png,"[{""class"": ""Car"", ""bbox"": [928, 515, 1170, 839], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000084.png,"[{""class"": ""Car"", ""bbox"": [929, 513, 1165, 817], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000089.png,"[{""class"": ""Car"", ""bbox"": [926, 512, 1164, 829], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000092.png,"[{""class"": ""Car"", ""bbox"": [924, 514, 1158, 819], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000103.png,"[{""class"": ""Car"", ""bbox"": [920, 515, 1150, 816], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000110.png,"[{""class"": ""Car"", ""bbox"": [926, 517, 1143, 822], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000113.png,"[{""class"": ""Car"", ""bbox"": [916, 517, 1156, 815], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000128.png,"[{""class"": ""Car"", ""bbox"": [913, 515, 1150, 816], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000131.png,"[{""class"": ""Car"", ""bbox"": [922, 510, 1145, 824], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000132.png,"[{""class"": ""Car"", ""bbox"": [916, 511, 1149, 823], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000151.png,"[{""class"": ""Car"", ""bbox"": [925, 526, 1153, 828], ""color"": [0, 0, 255]}]"
20181107_132300/camera/cam_front_center/20181107132300_camera_frontcenter_000000159.png,"[{""class"": ""Car"", ""bbox"": [917, 523, 1135, 818], ""color"": [0, 0, 255]}]"
